latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.667835,71.64306,405.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),shortwave_radiation_instant (W/m²)
2023-12-15T00:00,-4.6,46,6.1,0.0
2023-12-15T01:00,-5.6,59,6.4,0.0
2023-12-15T02:00,-4.3,55,3.2,0.0
2023-12-15T03:00,-4.3,57,2.2,12.5
2023-12-15T04:00,-2.5,50,3.6,106.0
2023-12-15T05:00,-0.5,43,1.0,189.1
2023-12-15T06:00,1.2,38,0.8,252.1
2023-12-15T07:00,2.4,34,1.3,270.9
2023-12-15T08:00,3.3,32,0.8,259.3
2023-12-15T09:00,4.1,31,2.0,257.6
2023-12-15T10:00,4.5,30,3.2,213.8
2023-12-15T11:00,4.0,31,5.5,85.3
2023-12-15T12:00,2.9,34,4.2,0.0
2023-12-15T13:00,-1.6,59,9.1,0.0
2023-12-15T14:00,-0.1,55,2.5,0.0
2023-12-15T15:00,-3.1,82,8.7,0.0
2023-12-15T16:00,-2.6,82,7.1,0.0
2023-12-15T17:00,-2.6,75,7.0,0.0
2023-12-15T18:00,-2.0,69,6.6,0.0
2023-12-15T19:00,-3.2,72,2.8,0.0
2023-12-15T20:00,-3.2,67,5.2,0.0
2023-12-15T21:00,-2.8,67,4.8,0.0
2023-12-15T22:00,-2.4,65,5.1,0.0
2023-12-15T23:00,-2.5,67,4.4,0.0
